id,lesson,text,translation_ru,notes
s1_1_01,1.1,Zdravo!,Привет!;Здравствуйте!,«Kako si?» вводится в уроке 1.3
s1_1_02,1.1,Dobar dan!,Добрый день!,
s1_1_03,1.1,Dobro jutro!,Доброе утро!,
s1_1_04,1.1,Hvala!,Спасибо!,
s1_1_05,1.1,"Da, hvala.","Да, спасибо.",
s1_1_06,1.1,"Ne, hvala.","Нет, спасибо.",
s1_1_07,1.1,Dobro veče!,Добрый вечер!,
s1_1_08,1.1,Doviđenja!,До свидания!,
s1_1_09,1.1,Ćao!,Чао!;Пока!,
s1_1_10,1.1,Molim?,Что?;Простите?,Переспрос
s1_2_01,1.2,Kako se zoveš?,Как тебя зовут?,
s1_2_02,1.2,Zovem se Ana.,Меня зовут Ана.,
s1_2_03,1.2,Ja sam Marko.,Я Марко.,
s1_2_04,1.2,Drago mi je.,Приятно познакомиться.,
s1_2_05,1.2,Ko je to?,Кто это?,
s1_2_06,1.2,To je Ana.,Это Ана.,
s1_2_07,1.2,Kako se on zove?,Как его зовут?,
s1_2_08,1.2,On se zove Marko.,Его зовут Марко.,
s1_2_09,1.2,Moje ime je Ana.,Меня зовут Ана.;Моё имя Ана.,
s1_2_10,1.2,"Ja sam Ana, a ti?","Я Ана, а ты?",Союз a вводится как готовая фраза
s1_3_01,1.3,Kako si?,Как ты?;Как дела?,
s1_3_02,1.3,"Dobro sam, hvala.","Хорошо, спасибо.",
s1_3_03,1.3,Nisam dobro.,Мне нехорошо.;Я не в порядке.,
s1_3_04,1.3,Odlično sam!,У меня отлично!,
s1_3_05,1.3,Odakle si?,Откуда ты?,
s1_3_06,1.3,Ja sam iz Rusije.,Я из России.,
s1_3_07,1.3,Odakle je ona?,Откуда она?,
s1_3_08,1.3,Ona je iz Moskve.,Она из Москвы.,
s1_3_09,1.3,Gde živiš?,Где ты живёшь?,
s1_3_10,1.3,Živim u Beogradu.,Я живу в Белграде.,
s1_3_11,1.3,Nije loše.,Неплохо.,Ответ на вопрос «как дела»
s1_3_12,1.3,On je iz Srbije.,Он из Сербии.,
s1_4_01,1.4,Govoriš li srpski?,Ты говоришь по-сербски?,
s1_4_02,1.4,Govorim malo srpski.,Я немного говорю по-сербски.,
s1_4_03,1.4,Ne razumem.,Я не понимаю.;Не понимаю.,
s1_4_04,1.4,"Izvinite, ne razumem.","Извините, я не понимаю.",
s1_4_05,1.4,Govorim ruski.,Я говорю по-русски.,
s1_4_06,1.4,Ona govori srpski.,Она говорит по-сербски.,
s1_4_07,1.4,Razumeš li?,Ты понимаешь?,
s1_4_08,1.4,Srpski jezik je lep.,Сербский язык красивый.,
s1_4_09,1.4,Ja razumem malo.,Я немного понимаю.,
s1_4_10,1.4,On ne govori ruski.,Он не говорит по-русски.,
s1_4_11,1.4,Ana i Marko govore srpski.,Ана и Марко говорят по-сербски.,
